"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"CAL2B" "2010" "211" "12103" "11453" "8.9894" "42.32368" "31" "2010.06.21" "18.12.00" "2010.06.22" "07.30.00" "3" "3.2" "FB" "3 - 5,9 m [Protocole CEN]" "Pseudorasbora parva" "78"
"CAL2B" "2010" "211" "12103" "11453" "8.9894" "42.32368" "31" "2010.06.21" "18.12.00" "2010.06.22" "07.30.00" "3" "3.2" "FB" "3 - 5,9 m [Protocole CEN]" "Pseudorasbora parva" "75"
"CAL2B" "2010" "211" "12103" "11453" "8.9894" "42.32368" "31" "2010.06.21" "18.12.00" "2010.06.22" "07.30.00" "3" "3.2" "FB" "3 - 5,9 m [Protocole CEN]" "Salmo trutta fario" "387"
"CAL2B" "2010" "211" "12103" "11453" "8.9894" "42.32368" "31" "2010.06.21" "18.12.00" "2010.06.22" "07.30.00" "3" "3.2" "FB" "3 - 5,9 m [Protocole CEN]" "Salmo trutta fario" "345"
"CAL2B" "2010" "211" "12103" "11453" "8.9894" "42.32368" "31" "2010.06.21" "18.12.00" "2010.06.22" "07.30.00" "3" "3.2" "FB" "3 - 5,9 m [Protocole CEN]" "Salmo trutta fario" "301"
"CAL2B" "2010" "211" "12103" "11453" "8.9894" "42.32368" "31" "2010.06.21" "18.12.00" "2010.06.22" "07.30.00" "3" "3.2" "FB" "3 - 5,9 m [Protocole CEN]" "Salmo trutta fario" "179"
"CAL2B" "2010" "211" "12103" "11453" "8.9894" "42.32368" "31" "2010.06.21" "18.12.00" "2010.06.22" "07.30.00" "3" "3.2" "FB" "3 - 5,9 m [Protocole CEN]" "Salmo trutta fario" "153"
"CAL2B" "2010" "211" "12103" "11453" "8.9894" "42.32368" "31" "2010.06.21" "18.12.00" "2010.06.22" "07.30.00" "3" "3.2" "FB" "3 - 5,9 m [Protocole CEN]" "Scardinius erythrophthalmus" "110"
"CAL2B" "2010" "211" "12104" "11454" "NA" "NA" "NA" "2010.06.21" "18.37.00" "2010.06.22" "07.50.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Pseudorasbora parva" "45"
"CAL2B" "2010" "211" "12104" "11454" "NA" "NA" "NA" "2010.06.21" "18.37.00" "2010.06.22" "07.50.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Pseudorasbora parva" "45"
